#casa,#gols_c,#gols_v,#visitante,#pp,#iv,#iv%,#renda_L,#renda_B
São Paulo-SP,1,0,Paraná-PR,11.327,15.437,73,"R$ 140.284,04","R$ 338.295,00"
Botafogo-RJ,1,1,Palmeiras-SP,7.02,7.515,93,"R$ -200.131,47","R$ 207.880,00"
Athletico Paranaense-PR,5,1,Chapecoense-SC,8.395,8.395,100,"R$ -77.837,78","R$ 130.015,00"
Internacional-RS,2,0,Bahia-BA,18.46,18.46,100,"R$ 524.782,95","R$ 796.275,00"
Corinthians-SP,2,1,Fluminense-RJ,28.777,28.777,100,"R$ 871.251,02","R$ 1.372.018,06"
Vasco-RJ,2,1,Atlético Mineiro-MG,6.349,7.606,84,"R$ -48.726,86","R$ 176.600,00"
América Mineiro-MG,3,0,Sport-PE,3.23,3.608,90,"R$ -56.296,29","R$ 36.293,00"
Santos-SP,2,0,Ceará-CE,12.268,12.268,100,"R$ 139.766,13","R$ 526.550,00"
Vitória-BA,2,2,Flamengo-RJ,12.669,13.981,91,"R$ 133.166,18","R$ 238.994,00"
Cruzeiro-MG,0,1,Grêmio-RS,15.252,15.255,100,"R$ 279.460,67","R$ 418.305,00"
Sport-PE,1,1,Botafogo-RJ,5.151,5.151,100,"R$ 42.216,04","R$ 101.020,00"
Grêmio-RS,0,0,Athletico Paranaense-PR,22.049,22.049,100,"R$ 535.997,14","R$ 688.660,00"
Palmeiras-SP,1,0,Internacional-RS,23.236,23.236,100,"R$ 226.822,43","R$ 717.950,00"
Ceará-CE,0,0,São Paulo-SP,29.186,31.076,94,"R$ 475.878,77","R$ 743.600,00"
Fluminense-RJ,1,0,Cruzeiro-MG,8.671,9.528,91,"R$ -221.234,37","R$ 263.145,00"
Chapecoense-SC,1,1,Vasco-RJ,8.075,8.075,100,"R$ 129.415,83","R$ 193.270,00"
Atlético Mineiro-MG,2,1,Vitória-BA,9.649,10.5,92,"R$ 61.073,63","R$ 128.294,00"
Paraná-PR,0,4,Corinthians-SP,15.714,15.714,100,"R$ 352.413,85","R$ 632.120,00"
Flamengo-RJ,2,0,América Mineiro-MG,47.175,47.841,99,"R$ 406.292,83","R$ 1.641.395,00"
Bahia-BA,1,0,Santos-SP,15.588,16.22,96,"R$ 140.834,22","R$ 317.748,00"
Santos-SP,1,1,Vasco-RJ,11.19,11.19,100,"R$ -53.697,34","R$ 318.336,50"
América Mineiro-MG,2,1,Vitória-BA,5.022,5.354,94,"R$ -46.941,53","R$ 60.890,00"
Internacional-RS,0,0,Cruzeiro-MG,18.47,18.47,100,"R$ 532.436,44","R$ 816.055,00"
Palmeiras-SP,0,0,Chapecoense-SC,30.671,30.671,100,"R$ 1.140.295,16","R$ 1.749.825,94"
Ceará-CE,0,3,Flamengo-RJ,51.952,52.752,99,"R$ 1.124.873,57","R$ 1.636.160,00"
Fluminense-RJ,1,1,São Paulo-SP,17.211,18.669,92,"R$ 33.140,94","R$ 565.405,00"
Bahia-BA,0,0,Athletico Paranaense-PR,16.235,16.65,98,"R$ 134.510,36","R$ 312.815,00"
Paraná-PR,1,2,Sport-PE,7.604,7.604,100,"R$ 52.976,62","R$ 172.105,00"
Atlético Mineiro-MG,1,0,Corinthians-SP,19.117,19.98,96,"R$ 360.963,49","R$ 508.085,00"
Botafogo-RJ,2,1,Grêmio-RS,8.498,8.769,97,"R$ -153.748,53","R$ 248.845,00"
Chapecoense-SC,1,1,Paraná-PR,7.288,7.288,100,"R$ 89.227,28","R$ 155.770,00"
Grêmio-RS,5,1,Santos-SP,25.779,25.779,100,"R$ 653.774,93","R$ 822.966,00"
Sport-PE,2,0,Bahia-BA,11.572,11.572,100,"R$ 150.828,50","R$ 249.050,00"
Flamengo-RJ,2,0,Internacional-RS,55.283,56.11,99,"R$ 186.675,98","R$ 1.415.585,00"
Vitória-BA,1,2,Fluminense-RJ,6.652,7.902,84,"R$ 843,57","R$ 66.159,50"
Athletico Paranaense-PR,1,3,Palmeiras-SP,19.077,19.077,100,"R$ 413.571,81","R$ 733.565,00"
Cruzeiro-MG,1,0,Botafogo-RJ,15.792,15.792,100,"R$ 254.635,00","R$ 391.830,00"
Corinthians-SP,1,1,Ceará-CE,40.35,40.35,100,"R$ 1.808.299,47","R$ 2.416.706,36"
São Paulo-SP,2,2,Atlético Mineiro-MG,31.976,36.005,89,"R$ 519.120,15","R$ 788.822,00"
Vasco-RJ,4,1,América Mineiro-MG,3.311,4.892,68,"R$ -109.903,55","R$ 91.950,00"
Ceará-CE,2,2,América Mineiro-MG,13.898,14.279,97,"R$ -23.085,68","R$ 84.285,00"
Botafogo-RJ,2,1,Fluminense-RJ,8.931,9.193,97,"R$ -180.959,43","R$ 250.140,00"
Santos-SP,3,1,Paraná-PR,3.971,3.971,100,"R$ -384,95","R$ 140.110,00"
